Menu_Category,Menu_Items,Energy,Protein,Total_fat,Cholesterols,Total_carbohydrate,Total_Sugars
Regular Menu,McVeggieâ„¢ Burger,402.05,10.24,13.83,2.49,56.54,7.9
Regular Menu,McAloo Tikki BurgerÂ®,339.52,8.5,11.31,1.47,50.27,7.05
Regular Menu,McSpicyâ„¢ Paneer Burger,652.76,20.29,39.45,21.85,52.33,8.35
Regular Menu,Spicy Paneer Wrap,674.68,20.96,39.1,40.93,59.27,3.5
Regular Menu,American Veg Burger,512.17,15.3,23.45,25.24,56.96,7.85
Regular Menu,Veg Maharaja Mac,832.67,24.17,37.94,36.19,93.84,11.52
Regular Menu,Green Chilli Aloo Naan,356.09,7.91,15.08,9.45,46.36,4.53
Regular Menu,Pizza Puff,228.21,5.45,11.44,5.17,24.79,2.73
Regular Menu,Mc chicken Burger,400.8,15.66,15.7,31.17,47.98,5.53
Regular Menu,FILLET-O-FISH Burger,348.11,15.44,14.16,32.83,38.85,5.58
Regular Menu,Mc Spicy Chicken Burger,451.92,21.46,19.36,66.04,46.08,5.88
Regular Menu,Spicy Chicken Wrap,567.19,23.74,26.89,87.63,57.06,2.52
Regular Menu,Chicken Maharaja Mac,689.12,34.0,36.69,81.49,55.39,8.92
Regular Menu,American Chicken Burger,446.95,20.29,22.94,47.63,38.54,7.48
Regular Menu,Chicken Kebab Burger,357.05,8.64,14.02,1.51,47.9,5.08
Regular Menu,Green Chilli Kebab naan,230.95,5.67,9.32,8.74,31.06,3.64
Regular Menu,Mc Egg Masala Burger,290.42,12.45,12.27,213.09,32.89,4.89
Regular Menu,Mc Egg Burger for Happy Meal,282.98,12.29,12.21,213.09,31.32,4.66
Regular Menu,Ghee Rice with Mc Spicy Fried Chicken 1 pc,720.3,26.91,29.2,31.32,77.47,3.28
Regular Menu,McSpicy Fried Chicken 1 pc,248.76,17.33,14.29,31.11,12.7,0.58
Regular Menu,4 piece Chicken McNuggets,169.68,10.03,9.54,24.66,10.5,0.32
Regular Menu,6 piece Chicken McNuggets,254.52,15.04,14.3,36.99,15.74,0.48
Regular Menu,9 piece Chicken McNuggets,381.77,22.56,21.46,55.48,23.62,0.72
Regular Menu,2 piece Chicken Strips,164.44,10.17,12.38,30.1,2.68,0.29
Regular Menu,3 piece Chicken Strips,246.65,15.26,18.57,45.15,4.02,0.44
Regular Menu,5 piece Chicken Strips,411.09,25.43,28.54,6.7,0.73,0.72
Regular Menu,Regular Fries,224.59,3.38,10.39,0.77,27.08,0.39
Regular Menu,Medium Fries,317.92,4.79,14.7,1.09,38.34,0.55
Regular Menu,Large Fries,449.17,6.76,20.77,1.54,54.16,0.77
